MDDv1.1_SciName,MDDv1.2_SciName,Comments,Category,References
Dermanura_cinerea,Artibeus_cinereus,moved from Dermanura to Artibeus,genus change,"Hoofer, S. R., Solari, S., Larsen, P. A., Bradley, R. D., & Baker, R. J. (2008). Phylogenetics of the fruit-eating bats (Phyllostomidae: Artibeina) inferred from mitochondrial DNA sequences. Occasional Papers of the Museum of Texas Tech University, 277, 1-15.|Wilson D.E. & Mittermeier R.A. 2019. Handbook of the mammals of the world. Vol. 9. Bats. Lynx Edicions, Barcelona.|York, H. A., Rodríguez-Herrera, B., Laval, R. K., Timm, R. M., & Lindsay, K. E. (2019). Field key to the bats of Costa Rica and Nicaragua. Journal of Mammalogy, 100(6), 1726-1749.|Turcios-Casco, M. A., Ávila-Palma, H. D., LaVal, R. К., Stevens, R. D., Ordoñez-Trejo, E. J., Soler-Orellana, J. A., & Ordoñez-Mazier, D. I. (2020). A systematic revision of the bats (Chiroptera) of Honduras: an updated checklist with corroboration of historical specimens and new records. Zoosystematics and Evolution, 96, 411.|"
Koopmania_concolor,Artibeus_concolor,moved from Koopmania to Artibeus,genus change,"Hoofer, S. R., Solari, S., Larsen, P. A., Bradley, R. D., & Baker, R. J. (2008). Phylogenetics of the fruit-eating bats (Phyllostomidae: Artibeina) inferred from mitochondrial DNA sequences. Occasional Papers of the Museum of Texas Tech University, 277, 1-15.|Wilson D.E. & Mittermeier R.A. 2019. Handbook of the mammals of the world. Vol. 9. Bats. Lynx Edicions, Barcelona.|York, H. A., Rodríguez-Herrera, B., Laval, R. K., Timm, R. M., & Lindsay, K. E. (2019). Field key to the bats of Costa Rica and Nicaragua. Journal of Mammalogy, 100(6), 1726-1749.|Turcios-Casco, M. A., Ávila-Palma, H. D., LaVal, R. К., Stevens, R. D., Ordoñez-Trejo, E. J., Soler-Orellana, J. A., & Ordoñez-Mazier, D. I. (2020). A systematic revision of the bats (Chiroptera) of Honduras: an updated checklist with corroboration of historical specimens and new records. Zoosystematics and Evolution, 96, 411.|"
Dermanura_glauca,Artibeus_glaucus,moved from Dermanura to Artibeus,genus change,"Hoofer, S. R., Solari, S., Larsen, P. A., Bradley, R. D., & Baker, R. J. (2008). Phylogenetics of the fruit-eating bats (Phyllostomidae: Artibeina) inferred from mitochondrial DNA sequences. Occasional Papers of the Museum of Texas Tech University, 277, 1-15.|Wilson D.E. & Mittermeier R.A. 2019. Handbook of the mammals of the world. Vol. 9. Bats. Lynx Edicions, Barcelona.|York, H. A., Rodríguez-Herrera, B., Laval, R. K., Timm, R. M., & Lindsay, K. E. (2019). Field key to the bats of Costa Rica and Nicaragua. Journal of Mammalogy, 100(6), 1726-1749.|Turcios-Casco, M. A., Ávila-Palma, H. D., LaVal, R. К., Stevens, R. D., Ordoñez-Trejo, E. J., Soler-Orellana, J. A., & Ordoñez-Mazier, D. I. (2020). A systematic revision of the bats (Chiroptera) of Honduras: an updated checklist with corroboration of historical specimens and new records. Zoosystematics and Evolution, 96, 411.|"
Dermanura_gnoma,Artibeus_gnomus,moved from Dermanura to Artibeus,genus change,"Hoofer, S. R., Solari, S., Larsen, P. A., Bradley, R. D., & Baker, R. J. (2008). Phylogenetics of the fruit-eating bats (Phyllostomidae: Artibeina) inferred from mitochondrial DNA sequences. Occasional Papers of the Museum of Texas Tech University, 277, 1-15.|Wilson D.E. & Mittermeier R.A. 2019. Handbook of the mammals of the world. Vol. 9. Bats. Lynx Edicions, Barcelona.|York, H. A., Rodríguez-Herrera, B., Laval, R. K., Timm, R. M., & Lindsay, K. E. (2019). Field key to the bats of Costa Rica and Nicaragua. Journal of Mammalogy, 100(6), 1726-1749.|Turcios-Casco, M. A., Ávila-Palma, H. D., LaVal, R. К., Stevens, R. D., Ordoñez-Trejo, E. J., Soler-Orellana, J. A., & Ordoñez-Mazier, D. I. (2020). A systematic revision of the bats (Chiroptera) of Honduras: an updated checklist with corroboration of historical specimens and new records. Zoosystematics and Evolution, 96, 411.|"
Dermanura_phaeotis,Artibeus_phaeotis,moved from Dermanura to Artibeus,genus change,"Hoofer, S. R., Solari, S., Larsen, P. A., Bradley, R. D., & Baker, R. J. (2008). Phylogenetics of the fruit-eating bats (Phyllostomidae: Artibeina) inferred from mitochondrial DNA sequences. Occasional Papers of the Museum of Texas Tech University, 277, 1-15.|Wilson D.E. & Mittermeier R.A. 2019. Handbook of the mammals of the world. Vol. 9. Bats. Lynx Edicions, Barcelona.|York, H. A., Rodríguez-Herrera, B., Laval, R. K., Timm, R. M., & Lindsay, K. E. (2019). Field key to the bats of Costa Rica and Nicaragua. Journal of Mammalogy, 100(6), 1726-1749.|Turcios-Casco, M. A., Ávila-Palma, H. D., LaVal, R. К., Stevens, R. D., Ordoñez-Trejo, E. J., Soler-Orellana, J. A., & Ordoñez-Mazier, D. I. (2020). A systematic revision of the bats (Chiroptera) of Honduras: an updated checklist with corroboration of historical specimens and new records. Zoosystematics and Evolution, 96, 411.|"
Dermanura_rava,Artibeus_ravus,moved from Dermanura to Artibeus,genus change,"Hoofer, S. R., Solari, S., Larsen, P. A., Bradley, R. D., & Baker, R. J. (2008). Phylogenetics of the fruit-eating bats (Phyllostomidae: Artibeina) inferred from mitochondrial DNA sequences. Occasional Papers of the Museum of Texas Tech University, 277, 1-15.|Wilson D.E. & Mittermeier R.A. 2019. Handbook of the mammals of the world. Vol. 9. Bats. Lynx Edicions, Barcelona.|York, H. A., Rodríguez-Herrera, B., Laval, R. K., Timm, R. M., & Lindsay, K. E. (2019). Field key to the bats of Costa Rica and Nicaragua. Journal of Mammalogy, 100(6), 1726-1749.|Turcios-Casco, M. A., Ávila-Palma, H. D., LaVal, R. К., Stevens, R. D., Ordoñez-Trejo, E. J., Soler-Orellana, J. A., & Ordoñez-Mazier, D. I. (2020). A systematic revision of the bats (Chiroptera) of Honduras: an updated checklist with corroboration of historical specimens and new records. Zoosystematics and Evolution, 96, 411.|"
Dermanura_rosenbergii,Artibeus_rosenbergi,moved from Dermanura to Artibeus,genus change,"Hoofer, S. R., Solari, S., Larsen, P. A., Bradley, R. D., & Baker, R. J. (2008). Phylogenetics of the fruit-eating bats (Phyllostomidae: Artibeina) inferred from mitochondrial DNA sequences. Occasional Papers of the Museum of Texas Tech University, 277, 1-15.|Wilson D.E. & Mittermeier R.A. 2019. Handbook of the mammals of the world. Vol. 9. Bats. Lynx Edicions, Barcelona.|York, H. A., Rodríguez-Herrera, B., Laval, R. K., Timm, R. M., & Lindsay, K. E. (2019). Field key to the bats of Costa Rica and Nicaragua. Journal of Mammalogy, 100(6), 1726-1749.|Turcios-Casco, M. A., Ávila-Palma, H. D., LaVal, R. К., Stevens, R. D., Ordoñez-Trejo, E. J., Soler-Orellana, J. A., & Ordoñez-Mazier, D. I. (2020). A systematic revision of the bats (Chiroptera) of Honduras: an updated checklist with corroboration of historical specimens and new records. Zoosystematics and Evolution, 96, 411.|"
Dermanura_tolteca,Artibeus_toltecus,moved from Dermanura to Artibeus,genus change,"Hoofer, S. R., Solari, S., Larsen, P. A., Bradley, R. D., & Baker, R. J. (2008). Phylogenetics of the fruit-eating bats (Phyllostomidae: Artibeina) inferred from mitochondrial DNA sequences. Occasional Papers of the Museum of Texas Tech University, 277, 1-15.|Wilson D.E. & Mittermeier R.A. 2019. Handbook of the mammals of the world. Vol. 9. Bats. Lynx Edicions, Barcelona.|York, H. A., Rodríguez-Herrera, B., Laval, R. K., Timm, R. M., & Lindsay, K. E. (2019). Field key to the bats of Costa Rica and Nicaragua. Journal of Mammalogy, 100(6), 1726-1749.|Turcios-Casco, M. A., Ávila-Palma, H. D., LaVal, R. К., Stevens, R. D., Ordoñez-Trejo, E. J., Soler-Orellana, J. A., & Ordoñez-Mazier, D. I. (2020). A systematic revision of the bats (Chiroptera) of Honduras: an updated checklist with corroboration of historical specimens and new records. Zoosystematics and Evolution, 96, 411.|"
Dermanura_watsoni,Artibeus_watsoni,moved from Dermanura to Artibeus,genus change,"Hoofer, S. R., Solari, S., Larsen, P. A., Bradley, R. D., & Baker, R. J. (2008). Phylogenetics of the fruit-eating bats (Phyllostomidae: Artibeina) inferred from mitochondrial DNA sequences. Occasional Papers of the Museum of Texas Tech University, 277, 1-15.|Wilson D.E. & Mittermeier R.A. 2019. Handbook of the mammals of the world. Vol. 9. Bats. Lynx Edicions, Barcelona.|York, H. A., Rodríguez-Herrera, B., Laval, R. K., Timm, R. M., & Lindsay, K. E. (2019). Field key to the bats of Costa Rica and Nicaragua. Journal of Mammalogy, 100(6), 1726-1749.|Turcios-Casco, M. A., Ávila-Palma, H. D., LaVal, R. К., Stevens, R. D., Ordoñez-Trejo, E. J., Soler-Orellana, J. A., & Ordoñez-Mazier, D. I. (2020). A systematic revision of the bats (Chiroptera) of Honduras: an updated checklist with corroboration of historical specimens and new records. Zoosystematics and Evolution, 96, 411.|"
Mysateles_garridoi,Capromys_garridoi,moved from Mysateles to Capromys,genus change,"Turvey, S. T., Kennerley, R. J., Nuñez-Miño, J. M., & Young, R. P. (2017). The last survivors: current status and conservation of the non-volant land mammals of the insular Caribbean. Journal of Mammalogy, 98(4), 918-936.|Upham, N. S., & Borroto-Páez, R. (2017). Molecular phylogeography of endangered Cuban hutias within the Caribbean radiation of capromyid rodents. Journal of Mammalogy, 98(4), 950-963.|Fabre, P.-H., Upham, N. S., Emmons, L. H., Justy, F., Leite, Y. L. R., Loss, A. C., Orlando, L., Tilak, M.-K., Patterson, B. D., and Douzery, E. J. P. (2017). Mitogenomic Phylogeny, Diversification, and Biogeography of South American Spiny Rats. Molecular Biology and Evolution. 34 (3): 613–633."
Myodes_californicus,Clethrionomys_californicus,moved from Myodes to Clethrionomys,genus change,"Kryštufek, B., Tesakov, A. S., Lebedev, V. S., Bannikova, A. A., Abramson, N. I., & Shenbrot, G. (2020). Back to the future: the proper name for red-backed voles is Clethrionomys Tilesius and not Myodes Pallas. Mammalia, 84(2), 214-217."
Myodes_centralis,Clethrionomys_centralis,moved from Myodes to Clethrionomys,genus change,"Kryštufek, B., Tesakov, A. S., Lebedev, V. S., Bannikova, A. A., Abramson, N. I., & Shenbrot, G. (2020). Back to the future: the proper name for red-backed voles is Clethrionomys Tilesius and not Myodes Pallas. Mammalia, 84(2), 214-217."
Myodes_gapperi,Clethrionomys_gapperi,moved from Myodes to Clethrionomys,genus change,"Kryštufek, B., Tesakov, A. S., Lebedev, V. S., Bannikova, A. A., Abramson, N. I., & Shenbrot, G. (2020). Back to the future: the proper name for red-backed voles is Clethrionomys Tilesius and not Myodes Pallas. Mammalia, 84(2), 214-217."
Myodes_glareolus,Clethrionomys_glareolus,moved from Myodes to Clethrionomys,genus change,"Kryštufek, B., Tesakov, A. S., Lebedev, V. S., Bannikova, A. A., Abramson, N. I., & Shenbrot, G. (2020). Back to the future: the proper name for red-backed voles is Clethrionomys Tilesius and not Myodes Pallas. Mammalia, 84(2), 214-217."
Myodes_macrotis,Clethrionomys_macrotis,moved from Myodes to Clethrionomys,genus change,"Wilson D.E., Lacher T.E., Mittermeier R.A. 2017. Handbook of the mammals of the world. Vol. 7. Rodents II. Lynx Edicions, Barcelona.|Bodrov, S. Y., Vasiljeva, V. K., Okhlopkov, I. M., Mamayev, N. V., Zakharov, E. S., Oleinikov, A. Y., ... & Abramson, N. I. (2020). Evolutionary history of mountain voles of the subgenus Aschizomys (Cricetidae, Rodentia), inferred from mitochondrial and nuclear markers. Integrative Zoology, 15(3), 187-201."
Myodes_rutilus,Clethrionomys_rutilus,moved from Myodes to Clethrionomys,genus change,"Kryštufek, B., Tesakov, A. S., Lebedev, V. S., Bannikova, A. A., Abramson, N. I., & Shenbrot, G. (2020). Back to the future: the proper name for red-backed voles is Clethrionomys Tilesius and not Myodes Pallas. Mammalia, 84(2), 214-217."
Chimarrogale_hantu,Crossogale_hantu,moved from Chimarrogale to Crossogale,genus change,"Abramov, A. V., Bannikova, A. A., Lebedev, V. S., & Rozhnov, V. V. (2017). Revision of Chimarrogale (Lipotyphla: Soricidae) from Vietnam with comments on taxonomy and biogeography of Asiatic water shrews. Zootaxa, 4232(2), 216-230.|Wilson D.E. & Mittermeier R.A. 2018. Handbook of the mammals of the world. Vol. 8. Insectivores, Colugos, and Sloths. Lynx Edicions, Barcelona."
Chimarrogale_phaeura,Crossogale_phaeura,moved from Chimarrogale to Crossogale,genus change,"Abramov, A. V., Bannikova, A. A., Lebedev, V. S., & Rozhnov, V. V. (2017). Revision of Chimarrogale (Lipotyphla: Soricidae) from Vietnam with comments on taxonomy and biogeography of Asiatic water shrews. Zootaxa, 4232(2), 216-230.|Wilson D.E. & Mittermeier R.A. 2018. Handbook of the mammals of the world. Vol. 8. Insectivores, Colugos, and Sloths. Lynx Edicions, Barcelona."
Chimarrogale_sumatrana,Crossogale_sumatrana,moved from Chimarrogale to Crossogale,genus change,"Abramov, A. V., Bannikova, A. A., Lebedev, V. S., & Rozhnov, V. V. (2017). Revision of Chimarrogale (Lipotyphla: Soricidae) from Vietnam with comments on taxonomy and biogeography of Asiatic water shrews. Zootaxa, 4232(2), 216-230.|Wilson D.E. & Mittermeier R.A. 2018. Handbook of the mammals of the world. Vol. 8. Insectivores, Colugos, and Sloths. Lynx Edicions, Barcelona."
Megadendromus_nikolausi,Dendromus_nikolausi,moved from Megadendromus to Dendromus,genus change,"Lavrenchenko, L. A., Nadjafova, R. S., Bekele, A., Mironova, T. A., & Bryja, J. (2017). Phylogenetic position of a monotypic Ethiopian endemic rodent genus Megadendromus (Rodentia, Nesomyidae). Mammalia, 81(1), 71-82."
Pecari_tajacu,Dicotyles_tajacu,moved from Pecari to Dicotyles,genus change,"Groves, C. P. & Grubb, P. 2011. Ungulate taxonomy. The John Hopkins University Press, Baltimore, Maryland.|Gongora, J., Biondo, C., Cooper, J. D., Taber, A., Keuroghlian, A., Altrichter, M., ... & Mayor, P. (2011). Revisiting the species status of Pecari maximus van Roosmalen et al., 2007 (Mammalia) from the Brazilian Amazon. Bonn Zoological Bulletin, 60(1), 95-101.|Acosta, L. E., Garbino, G. S., Gasparini, G. M., & Dutra, R. P. (2020). Unraveling the nomenclatural puzzle of the collared and white-lipped peccaries (Mammalia, Cetartiodactyla, Tayassuidae). Zootaxa, 4851(1), 60-80."
Hipposideros_camerunensis,Doryrhina_camerunensis,moved from Hipposideros to Doryrhina,genus change,"Foley, N. M., Goodman, S. M., Whelan, C. V., Puechmaille, S. J., & Teeling, E. (2017). Towards navigating the Minotaur's labyrinth: cryptic diversity and taxonomic revision within the speciose genus Hipposideros (Hipposideridae). Acta Chiropterologica, 19(1), 1-18."
Hipposideros_corynophyllus,Doryrhina_corynophyllus,moved from Hipposideros to Doryrhina,genus change,"Foley, N. M., Goodman, S. M., Whelan, C. V., Puechmaille, S. J., & Teeling, E. (2017). Towards navigating the Minotaur's labyrinth: cryptic diversity and taxonomic revision within the speciose genus Hipposideros (Hipposideridae). Acta Chiropterologica, 19(1), 1-18."
Hipposideros_edwardshilli,Doryrhina_edwardshilli,moved from Hipposideros to Doryrhina,genus change,"Foley, N. M., Goodman, S. M., Whelan, C. V., Puechmaille, S. J., & Teeling, E. (2017). Towards navigating the Minotaur's labyrinth: cryptic diversity and taxonomic revision within the speciose genus Hipposideros (Hipposideridae). Acta Chiropterologica, 19(1), 1-18."
Hipposideros_muscinus,Doryrhina_muscinus,moved from Hipposideros to Doryrhina,genus change,"Foley, N. M., Goodman, S. M., Whelan, C. V., Puechmaille, S. J., & Teeling, E. (2017). Towards navigating the Minotaur's labyrinth: cryptic diversity and taxonomic revision within the speciose genus Hipposideros (Hipposideridae). Acta Chiropterologica, 19(1), 1-18."
Hipposideros_semoni,Doryrhina_semoni,moved from Hipposideros to Doryrhina,genus change,"Foley, N. M., Goodman, S. M., Whelan, C. V., Puechmaille, S. J., & Teeling, E. (2017). Towards navigating the Minotaur's labyrinth: cryptic diversity and taxonomic revision within the speciose genus Hipposideros (Hipposideridae). Acta Chiropterologica, 19(1), 1-18."
Hipposideros_stenotis,Doryrhina_stenotis,moved from Hipposideros to Doryrhina,genus change,"Foley, N. M., Goodman, S. M., Whelan, C. V., Puechmaille, S. J., & Teeling, E. (2017). Towards navigating the Minotaur's labyrinth: cryptic diversity and taxonomic revision within the speciose genus Hipposideros (Hipposideridae). Acta Chiropterologica, 19(1), 1-18."
Hipposideros_wollastoni,Doryrhina_wollastoni,moved from Hipposideros to Doryrhina,genus change,"Foley, N. M., Goodman, S. M., Whelan, C. V., Puechmaille, S. J., & Teeling, E. (2017). Towards navigating the Minotaur's labyrinth: cryptic diversity and taxonomic revision within the speciose genus Hipposideros (Hipposideridae). Acta Chiropterologica, 19(1), 1-18."
Micropteropus_intermedius,Epomophorus_intermedius,moved from Micropteropus to Epomophorus,genus change,"Almeida, F. C., Simmons, N. B., & Giannini, N. P. (2020). A Species-level Phylogeny of Old World Fruit Bats with a New Higher-level Classification of the Family Pteropodidae. American Museum Novitates, 3950, 1-24."
Micropteropus_pusillus,Epomophorus_pusillus,moved from Micropteropus to Epomophorus,genus change,"Almeida, F. C., Simmons, N. B., & Giannini, N. P. (2020). A Species-level Phylogeny of Old World Fruit Bats with a New Higher-level Classification of the Family Pteropodidae. American Museum Novitates, 3950, 1-24."
Galerella_flavescens,Herpestes_flavescens,moved from Galerella to Herpestes,genus change,"Zhou, Y., Wang, S. R., & Ma, J. Z. (2017). Comprehensive species set revealing the phylogeny and biogeography of Feliformia (Mammalia, Carnivora) based on mitochondrial DNA. PloS one, 12(3), e0174902."
Galerella_ochracea,Herpestes_ochraceus,moved from Galerella to Herpestes,genus change,"Zhou, Y., Wang, S. R., & Ma, J. Z. (2017). Comprehensive species set revealing the phylogeny and biogeography of Feliformia (Mammalia, Carnivora) based on mitochondrial DNA. PloS one, 12(3), e0174902."
Galerella_pulverulenta,Herpestes_pulverulentus,moved from Galerella to Herpestes,genus change,"Zhou, Y., Wang, S. R., & Ma, J. Z. (2017). Comprehensive species set revealing the phylogeny and biogeography of Feliformia (Mammalia, Carnivora) based on mitochondrial DNA. PloS one, 12(3), e0174902."
Galerella_sanguinea,Herpestes_sanguineus,moved from Galerella to Herpestes,genus change,"Zhou, Y., Wang, S. R., & Ma, J. Z. (2017). Comprehensive species set revealing the phylogeny and biogeography of Feliformia (Mammalia, Carnivora) based on mitochondrial DNA. PloS one, 12(3), e0174902."
Calcochloris_tytonis,Huetia_tytonis,moved from Calcochloris to Huetia,genus change,"Wilson D.E. & Mittermeier R.A. 2018. Handbook of the mammals of the world. Vol. 8. Insectivores, Colugos, and Sloths. Lynx Edicions, Barcelona."
Falsistrellus_affinis,Hypsugo_affinis,moved from Falsistrellus to Hypsugo,genus change,"Górfól, T., & Csorba, G. (2018). Integrative taxonomy places Asian species of Falsistrellus (Chiroptera: Vespertilionidae) into Hypsugo. Mammalian Biology, 93(1), 56-63."
Falsistrellus_mordax,Hypsugo_mordax,moved from Falsistrellus to Hypsugo,genus change,"Górfól, T., & Csorba, G. (2018). Integrative taxonomy places Asian species of Falsistrellus (Chiroptera: Vespertilionidae) into Hypsugo. Mammalian Biology, 93(1), 56-63."
Falsistrellus_petersi,Hypsugo_petersi,moved from Falsistrellus to Hypsugo,genus change,"Górfól, T., & Csorba, G. (2018). Integrative taxonomy places Asian species of Falsistrellus (Chiroptera: Vespertilionidae) into Hypsugo. Mammalian Biology, 93(1), 56-63."
Neoromicia_capensis,Laephotis_capensis,moved from Neoromicia to Laephotis,genus change,"Bates, P. J., Ratrimomanarivo, F. H., Harrison, D. L., & Goodman, S. M. (2006). A description of a new species of Pipistrellus (Chiroptera: Vespertilionidae) from Madagascar with a review of related Vespertilioninae from the island. Acta Chiropterologica, 8(2), 299-324.|Goodman, S. M., Taylor, P. J., Ratrimomanarivo, F., & Hoofer, S. (2012). The genus Neoromicia (Family Vespertilionidae) in Madagascar, with the description of a new species. Zootaxa, 3250(1), 1-25.|Goodman, S. M., Kearney, T., Ratsimbazafy, M. M., & Hassanin, A. (2017). Description of a new species of Neoromicia (Chiroptera: Vespertilionidae) from southern Africa: A name for N. cf. melckorum. Zootaxa, 4236(2), 351-374.|Monadjem, A., T. C. Demos, D. L. Dalton, P. W. Webala, S. Musila, J. C. K. Peterhans and B. D. Patterson (2021). A revision of pipistrelle-like bats (Mammalia: Chiroptera: Vespertilionidae) in East Africa with the description of new genera and species. Zoological Journal of the Linnean Society 191(4): 1114–1146."
Neoromicia_malagasyensis,Laephotis_malagasyensis,moved from Neoromicia to Laephotis,genus change,"Goodman, S. M., & Ranivo, J. (2004). The taxonomic status of Neoromicia somalicus malagasyensis. Mammalian Biology, 69(6), 434-438.|Monadjem, A., T. C. Demos, D. L. Dalton, P. W. Webala, S. Musila, J. C. K. Peterhans and B. D. Patterson (2021). A revision of pipistrelle-like bats (Mammalia: Chiroptera: Vespertilionidae) in East Africa with the description of new genera and species. Zoological Journal of the Linnean Society 191(4): 1114–1146."
Neoromicia_matroka,Laephotis_matroka,moved from Neoromicia to Laephotis,genus change,"Bates, P. J., Ratrimomanarivo, F. H., Harrison, D. L., & Goodman, S. M. (2006). A description of a new species of Pipistrellus (Chiroptera: Vespertilionidae) from Madagascar with a review of related Vespertilioninae from the island. Acta Chiropterologica, 8(2), 299-324.|Monadjem, A., T. C. Demos, D. L. Dalton, P. W. Webala, S. Musila, J. C. K. Peterhans and B. D. Patterson (2021). A revision of pipistrelle-like bats (Mammalia: Chiroptera: Vespertilionidae) in East Africa with the description of new genera and species. Zoological Journal of the Linnean Society 191(4): 1114–1146."
Neoromicia_robertsi,Laephotis_robertsi,moved from Neoromicia to Laephotis,genus change,"Goodman, S. M., Taylor, P. J., Ratrimomanarivo, F., & Hoofer, S. (2012). The genus Neoromicia (Family Vespertilionidae) in Madagascar, with the description of a new species. Zootaxa, 3250(1), 1-25.|Monadjem, A., T. C. Demos, D. L. Dalton, P. W. Webala, S. Musila, J. C. K. Peterhans and B. D. Patterson (2021). A revision of pipistrelle-like bats (Mammalia: Chiroptera: Vespertilionidae) in East Africa with the description of new genera and species. Zoological Journal of the Linnean Society 191(4): 1114–1146."
Neoromicia_stanleyi,Laephotis_stanleyi,moved from Neoromicia to Laephotis,genus change,"Goodman, S. M., Kearney, T., Ratsimbazafy, M. M., & Hassanin, A. (2017). Description of a new species of Neoromicia (Chiroptera: Vespertilionidae) from southern Africa: A name for N. cf. melckorum. Zootaxa, 4236(2), 351-374.|Monadjem, A., T. C. Demos, D. L. Dalton, P. W. Webala, S. Musila, J. C. K. Peterhans and B. D. Patterson (2021). A revision of pipistrelle-like bats (Mammalia: Chiroptera: Vespertilionidae) in East Africa with the description of new genera and species. Zoological Journal of the Linnean Society 191(4): 1114–1146."
Aeorestes_cinereus,Lasiurus_cinereus,moved from Aeorestes to Lasiurus,genus change,"Baird, A. B., Braun, J. K., Mares, M. A., Morales, J. C., Patton, J. C., Tran, C. Q., & Bickham, J. W. (2015). Molecular systematic revision of tree bats (Lasiurini): doubling the native mammals of the Hawaiian Islands. Journal of Mammalogy, 96(6), 1255-1274.|Novaes, R. L. M., Garbino, G. S., Claudio, V. C., & Moratelli, R. (2018). Separation of monophyletic groups into distinct genera should consider phenotypic discontinuities: the case of Lasiurini (Chiroptera: Vespertilionidae). Zootaxa, 4379(3), 439-440.|Baird, A. B., Braun, J., Engstrom, M., Lim, B., Mares, M., Patton, J., & Bickham, J. (2021). On the utility of taxonomy to reflect biodiversity: the example of Lasiurini (Chiroptera: Vespertilionidae). Therya, 12(2), 283.|Soto-Centeno, J. A., & Simmons, N. B. (2022). Environmentally driven phenotypic convergence and niche conservatism accompany speciation in hoary bats. Scientific reports, 12(1), 21877.|Francis, C. M., Simmons, N. B., Van Cakenberghe, V., Upham, N. S., & Burgin, C. J. (2023). On the taxonomy of Lasiurus. Zenodo, 1-11. DOI: https://doi.org/10.5281/zenodo.7696845"
Dasypterus_ega,Lasiurus_ega,moved from Dasypterus to Lasiurus,genus change,"Baird, A. B., Braun, J. K., Mares, M. A., Morales, J. C., Patton, J. C., Tran, C. Q., & Bickham, J. W. (2015). Molecular systematic revision of tree bats (Lasiurini): doubling the native mammals of the Hawaiian Islands. Journal of Mammalogy, 96(6), 1255-1274.|Novaes, R. L. M., Garbino, G. S., Claudio, V. C., & Moratelli, R. (2018). Separation of monophyletic groups into distinct genera should consider phenotypic discontinuities: the case of Lasiurini (Chiroptera: Vespertilionidae). Zootaxa, 4379(3), 439-440.|Baird, A. B., Braun, J., Engstrom, M., Lim, B., Mares, M., Patton, J., & Bickham, J. (2021). On the utility of taxonomy to reflect biodiversity: the example of Lasiurini (Chiroptera: Vespertilionidae). Therya, 12(2), 283.|Francis, C. M., Simmons, N. B., Van Cakenberghe, V., Upham, N. S., & Burgin, C. J. (2023). On the taxonomy of Lasiurus. Zenodo, 1-11. DOI: https://doi.org/10.5281/zenodo.7696845"
Aeorestes_egregius,Lasiurus_egregius,moved from Aeorestes to Lasiurus,genus change,"Baird, A. B., Braun, J. K., Mares, M. A., Morales, J. C., Patton, J. C., Tran, C. Q., & Bickham, J. W. (2015). Molecular systematic revision of tree bats (Lasiurini): doubling the native mammals of the Hawaiian Islands. Journal of Mammalogy, 96(6), 1255-1274.|Novaes, R. L. M., Garbino, G. S., Claudio, V. C., & Moratelli, R. (2018). Separation of monophyletic groups into distinct genera should consider phenotypic discontinuities: the case of Lasiurini (Chiroptera: Vespertilionidae). Zootaxa, 4379(3), 439-440.|Baird, A. B., Braun, J., Engstrom, M., Lim, B., Mares, M., Patton, J., & Bickham, J. (2021). On the utility of taxonomy to reflect biodiversity: the example of Lasiurini (Chiroptera: Vespertilionidae). Therya, 12(2), 283.|Francis, C. M., Simmons, N. B., Van Cakenberghe, V., Upham, N. S., & Burgin, C. J. (2023). On the taxonomy of Lasiurus. Zenodo, 1-11. DOI: https://doi.org/10.5281/zenodo.7696845"
Dasypterus_insularis,Lasiurus_insularis,moved from Dasypterus to Lasiurus,genus change,"Baird, A. B., Braun, J. K., Mares, M. A., Morales, J. C., Patton, J. C., Tran, C. Q., & Bickham, J. W. (2015). Molecular systematic revision of tree bats (Lasiurini): doubling the native mammals of the Hawaiian Islands. Journal of Mammalogy, 96(6), 1255-1274.|Novaes, R. L. M., Garbino, G. S., Claudio, V. C., & Moratelli, R. (2018). Separation of monophyletic groups into distinct genera should consider phenotypic discontinuities: the case of Lasiurini (Chiroptera: Vespertilionidae). Zootaxa, 4379(3), 439-440.|Baird, A. B., Braun, J., Engstrom, M., Lim, B., Mares, M., Patton, J., & Bickham, J. (2021). On the utility of taxonomy to reflect biodiversity: the example of Lasiurini (Chiroptera: Vespertilionidae). Therya, 12(2), 283.|Francis, C. M., Simmons, N. B., Van Cakenberghe, V., Upham, N. S., & Burgin, C. J. (2023). On the taxonomy of Lasiurus. Zenodo, 1-11. DOI: https://doi.org/10.5281/zenodo.7696845"
